DRE;CODESC;TIPOESC;NOMES;NOMESCOFI;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
CL;90174;EMEI;MARIO ARY PIRES, MAL.;MARIO ARY PIRES, MAL.;;CAMPO LIMPO;CAMPO LIMPO;RUA FRANCISCO DE ALMEIDA;185;JARDIM LIDIA;5862180;55113951;58169379;;Ativa;19;CAPAO REDONDO;1903;35085601;35085601;1,622E+14;;14/12/1981;17.727;14/12/1981;;01/set/82;;JARDIM LIDIA;;-23666365;-46762446;31/12/2022
CL;19360;CEU EMEF;MARIO FITTIPALDI;MARIO FITTIPALDI;GUARAPIRANGA;CAMPO LIMPO;M'BOI MIRIM;ESTRADA DA BARONESA;1120;PARQUE BOLOGNE;4941175;33979620;33979622;;Ativa;43;JARDIM ANGELA;4305;35356761;35356761;1,622E+14;;05/01/2008;49121;04/01/2008;;28/dez/12;;GUARAPIRANGA;;-23697715;-46765063;31/12/2022
CL;92894;EMEF;MARIO MARQUES DE OLIVEIRA, PROF.;MARIO MARQUES DE OLIVEIRA, PROF.;;CAMPO LIMPO;M'BOI MIRIM;RUA MARCELINO COELHO;297;JARDIM ANGELA ZONA SUL;4939010;58310145;;58337878;Ativa;43;JARDIM ANGELA;4304;35054094;35054094;1,622E+14;;09/12/1969;8.554;08/12/1969;;10/abr/81;;E.M.JARDIM ANGELA;;-23689021;-46771534;31/12/2022
CL;92860;EMEF;MARIO MOURA E ALBUQUERQUE, BEL.;MARIO MOURA E ALBUQUERQUE, BEL.;;CAMPO LIMPO;M'BOI MIRIM;RUA HUMBERTO DE ALMEIDA;521;CHACARA SANTANA;5831000;58910875;55143074;;Ativa;46;JARDIM SAO LUIS;4603;35053797;35053797;1,622E+14;;23/08/1956;3206;25/08/1956;;10/abr/81;;ESCOLA MISTA DE VILA TUPAROQUERA;;-23671472;-46747273;31/12/2022
CL;400215;CEI DIRET;PAULO E ADMAR;PAULO E ADMAR;;CAMPO LIMPO;CAMPO LIMPO;RUA REVERENDO PEIXOTO DA SILVA;155;JARDIM ROSANA;5795010;58417432;;;Ativa;17;CAMPO LIMPO;1705;35238776;35238776;1,622E+14;ZERO A 6A E 11M;13/11/1991;30.554;13/11/1991;;22/mai/07;;JARDIM VALE DAS VIRTUDES;;-23648670;-46776949;31/12/2022
CL;92924;EMEF;MARIO RANGEL, CEL.;MARIO RANGEL, CEL.;;CAMPO LIMPO;CAMPO LIMPO;AVENIDA COMENDADOR SANTANNA;821;CAPAO REDONDO;5866000;58709311;58726464;;Ativa;19;CAPAO REDONDO;1904;35053824;35053824;1,622E+14;;12/02/1971;9.301;11/02/1971;;10/abr/81;;E.M.CAPAO REDONDO;;-23673774;-46773180;31/12/2022
CL;90182;EMEI;MARIO SETTE;MARIO SETTE;;CAMPO LIMPO;M'BOI MIRIM;RUA ANTONIO BAUSCHERT;66;JARDIM CAPELINHA;5850120;55115795;55134098;;Ativa;46;JARDIM SAO LUIS;4603;35052346;35052346;1,622E+14;;11/11/1977;14.760;11/11/1977;;30/jul/85;;;;-23655045;-46755104;31/12/2022
CL;309523;CR.P.CONV;MARITEL;MARITEL;;CAMPO LIMPO;CAMPO LIMPO;RUA MANUEL PINTO;102;JARDIM ELIZA;5776460;58166842;;;Ativa;17;CAMPO LIMPO;1703;35006870;35006870;;;06/11/2019;6,0162E+15;06/11/2019;;;;;;-23637375;-46748009;31/12/2022
CL;309519;CR.P.CONV;MARITEL II;MARITEL II;;CAMPO LIMPO;CAMPO LIMPO;RUA DOS MERCANTÉIS;135;VILA FAZZEONI;5884000;41143991;;;Ativa;19;CAPAO REDONDO;1905;35006864;35006864;;;08/10/2019;6,0162E+15;08/10/2019;;11/out/22;;;;-23669584;-46776372;31/12/2022
CL;19424;EMEF;MARLI FERRAZ TORRES BONFIM;MARLI FERRAZ TORRES BONFIM;;CAMPO LIMPO;M'BOI MIRIM;RUA JACQUES LE MERCIER;7;JARDIM MARIANE;5866050;58333056;58333177;;Ativa;43;JARDIM ANGELA;4302;35418250;35418250;1,622E+14;;28/11/2008;50267;27/11/2008;;14/mai/14;;M BOI MIRIM III;;-23680178;-46766983;31/12/2022
CL;309488;CR.P.CONV;MATRIARCA I;MATRIARCA I;;CAMPO LIMPO;M'BOI MIRIM;ESTRADA DA CUMBICA;970;CIDADE IPAVA;4947000;58375501;983812897;;Ativa;43;JARDIM ANGELA;4309;35006773;35006773;;;17/09/2019;6,0162E+15;17/09/2019;;;;MATRIARCA;;-23729389;-46746647;31/12/2022
CL;309717;CR.P.CONV;MAURICIO DE SOUSA;MAURICIO DE SOUSA;;CAMPO LIMPO;M'BOI MIRIM;AVENIDA JACOBUS BALDI;493;JARDIM IRACEMA;5847000;58199070;;;Ativa;46;JARDIM SAO LUIS;4603;35008149;35008149;;;21/09/2021;932021;21/09/2021;;;;;;-23655241;-46748743;31/12/2022
CL;93033;EMEF;MAURICIO SIMAO;MAURICIO SIMAO;;CAMPO LIMPO;CAMPO LIMPO;RUA KUNITO MIYASAKA;54;JARDIM MARTINICA;5759260;58410624;58426890;;Ativa;17;CAMPO LIMPO;1701;35054021;35054021;1,622E+14;;16/11/1973;10.734;16/11/1973;;10/abr/81;;E.M. CAMPO LIMPO;;-23630001;-46768827;31/12/2022
CL;19239;EMEI;MAURO BAPTISTA, PE.;MAURO BAPTISTA, PE.;;CAMPO LIMPO;CAMPO LIMPO;RUA CATARINENSES;20;VILA ANDRADE;5728050;35012505;35013252;;Ativa;83;VILA ANDRADE;8301;35278932;35278932;1,622E+14;;12/03/2002;41.774;11/03/2002;;08/mai/07;;VILA ANDRADE;;-23632043;-46741353;31/12/2022
CL;10154;EMEF;MAURO FACCIO GONCALVES - ZACARIA;MAURO FACCIO GONCALVES - ZACARIA;;CAMPO LIMPO;M'BOI MIRIM;AVENIDA RAQUEL ALVES MOREIRA;823;PARQUE SANTO ANTÔNIO;5821130;58946725;55143131;;Ativa;46;JARDIM SAO LUIS;4603;35068822;35068822;1,622E+14;;01/02/1991;29.506;01/02/1991;;07/nov/92;;CAMPO LIMPO II;;-23667809;-46748594;31/12/2022
CL;309616;CR.P.CONV;MEU CANTINHO;MEU CANTINHO;;CAMPO LIMPO;M'BOI MIRIM;RUA VITALINA GRASSMAN;335;JARDIM MIRANTE;5801110;34562217;;;Ativa;46;JARDIM SAO LUIS;4601;35007485;35007485;;;08/10/2020;2782020;08/10/2020;;;;;;-23646941;-46735270;31/12/2022
CL;19431;EMEF;MILLOR FERNANDES, JORNALISTA;MILLOR FERNANDES, JORNALISTA;;CAMPO LIMPO;CAMPO LIMPO;RUA FRANCISCO SOARES;487;PARQUE REGINA;5774300;58111011;58111008;;Ativa;17;CAMPO LIMPO;1703;35419345;35419345;1,622E+14;;28/11/2008;50267;27/11/2008;;04/set/09;;PARQUE REGINA;;-23637946;-46749814;31/12/2022
CL;400756;CEI INDIR;MIRA ORUBE;MIRA ORUBE;;CAMPO LIMPO;M'BOI MIRIM;ESTRADA DO MBOI MIRIM;5300;PARQUE DO LAGO;4948030;58330290;;;Ativa;43;JARDIM ANGELA;4302;35482336;35482336;1,622E+14;0 A 3 ANOS;19/09/2012;53426;19/09/2012;28/dez/12;;;TIQUIRA;;-23691551;-46776055;31/12/2022
CL;19211;EMEI;MITSUTANI;MITSUTANI;;CAMPO LIMPO;CAMPO LIMPO;ESTRADA PIRAJUSSARA-VALO VELHO;1419;JARDIM MITSUTANI;5791220;58259756;58212103;;Ativa;19;CAPAO REDONDO;1901;35271214;35271214;1,622E+14;;13/12/2000;40.139;12/12/2000;;08/mai/07;;;;-23647515;-46789957;31/12/2022
CL;99236;EMEF;MODESTO SCAGLIUSI;MODESTO SCAGLIUSI;;CAMPO LIMPO;CAMPO LIMPO;RUA JOAO RODRIGUES DE MOURA;16;JARDIM PIRACUAMA;5763440;55126937;;;Ativa;17;CAMPO LIMPO;1704;35098577;35098577;1,622E+14;;05/01/1988;25.243;04/01/1988;;09/mar/91;;JARDIM PIRACUAMA;;-23647212;-46761901;31/12/2022
CL;400579;CR.P.CONV;MONTE AZUL A. C.;MONTE AZUL A. C.;;CAMPO LIMPO;M'BOI MIRIM;RUA VITALINA GRASSMAN;290;JARDIM MIRANTE;5801110;58517002;58523035;;Ativa;46;JARDIM SAO LUIS;4601;35184226;35184226;;0A A 3A;;;;20/jul/02;07/jun/12;;MONTE AZUL;;-23647165;-46735660;31/12/2022
CL;19653;CEMEI;MORUMBI;MORUMBI;;CAMPO LIMPO;CAMPO LIMPO;RUA JOSÉ PEDRO DE CARVALHO LIMA;150;JARDIM PARQUE MORUMBI;5712080;37390921;37429760;;Ativa;83;VILA ANDRADE;8302;35006664;35006664;1,622E+14;;12/09/2019;58948;11/09/2019;;;;;;-23621523;-46729310;31/12/2022
CL;500880;MOVA;MOVIMENTO COMUNITARIO DA VILA REMO UNID III MB;MOVIMENTO COMUNITARIO DA VILA REMO UNID III MB;;CAMPO LIMPO;M'BOI MIRIM;PRACA SANTOS DIAS DA SILVA;S/N   ;VILA DAMACENO;5864210;55140161;;;Ativa;43;JARDIM ANGELA;4302;;;;;;;;29/jun/07;;;MOVIMENTO COMUNITARIO DA VILA REMO UNID III M;;-23675348;-46760427;31/12/2022
CL;308327;CR.P.CONV;MUNDO ENCANTADO DA CRIANCA;MUNDO ENCANTADO DA CRIANCA;;CAMPO LIMPO;CAMPO LIMPO;TRAVESSA CAPELINHA;10;JARDIM GERMÂNIA;5849200;27698363;;;Ativa;19;CAPAO REDONDO;1903;35578712;35578712;;;27/07/2015;2,01501E+11;27/07/2015;;17/mai/22;;;;-23650373;-46755394;31/12/2022
CL;308213;CR.P.CONV;NATALIA REZINO I;NATALIA REZINO I;;CAMPO LIMPO;CAMPO LIMPO;RUA BRÁCARA;66;JARDIM AMÁLIA;5890020;58273280;988034780;;Ativa;19;CAPAO REDONDO;1906;35569987;35569987;;;11/12/2014;2,01403E+11;11/12/2014;;11/nov/19;;;;-23666399;-46784468;31/12/2022
CL;99252;EMEI;NORIMAR TEIXEIRA, PROFA.;NORIMAR TEIXEIRA, PROFA.;;CAMPO LIMPO;M'BOI MIRIM;RUA VERDUM;45;JARDIM SAO FRANCISCO;4918230;55152002;55140011;;Ativa;46;JARDIM SAO LUIS;4605;35098620;35098620;1,622E+14;;20/01/1988;25.287;20/01/1988;;13/mar/01;;GUARAPIRANGA;;-23689692;-46740349;31/12/2022
